Make,Colour,Odometer (KM),Doors,Price
Honda,White,35431.0,4.0,15323.0
BMW,Blue,192714.0,5.0,19943.0
Honda,White,84714.0,4.0,28343.0
Toyota,White,154365.0,4.0,13434.0
Nissan,Blue,181577.0,3.0,14043.0
Honda,Red,42652.0,4.0,23883.0
Toyota,Blue,163453.0,4.0,8473.0
Honda,White,,4.0,20306.0
,White,130538.0,4.0,9374.0
Honda,Blue,51029.0,4.0,26683.0
Nissan,White,167421.0,4.0,16259.0
Nissan,Green,17119.0,4.0,6160.0
Nissan,White,102303.0,4.0,16909.0
,White,134181.0,4.0,11121.0
Honda,Blue,199833.0,4.0,18946.0
Toyota,Blue,205592.0,4.0,16290.0
Toyota,Red,96742.0,4.0,34465.0
BMW,White,194189.0,5.0,17177.0
Nissan,White,67991.0,3.0,9109.0
Nissan,Blue,215820.0,4.0,6010.0
Toyota,,124844.0,4.0,24130.0
Honda,,30615.0,4.0,29653.0
Toyota,White,148744.0,4.0,22489.0
Honda,Green,130075.0,4.0,21242.0
Honda,Blue,172718.0,4.0,14274.0
Honda,Blue,125819.0,4.0,15686.0
Honda,White,180390.0,4.0,13344.0
Honda,Green,82783.0,4.0,10984.0
Honda,White,56687.0,4.0,6135.0
Toyota,White,112004.0,4.0,13586.0
Nissan,Blue,34024.0,4.0,23929.0
Toyota,White,108569.0,,6866.0
Nissan,White,203795.0,4.0,9330.0
Nissan,Green,153554.0,3.0,9780.0
Honda,Blue,71949.0,4.0,17516.0
Honda,Blue,191622.0,4.0,8738.0
Nissan,Blue,38186.0,4.0,23438.0
Nissan,White,,4.0,15131.0
Nissan,Blue,146430.0,3.0,9224.0
Toyota,Green,109868.0,4.0,6574.0
,White,177894.0,4.0,9229.0
Toyota,Blue,189209.0,4.0,7100.0
Honda,Black,200490.0,4.0,6337.0
Toyota,Blue,141617.0,4.0,19085.0
Toyota,Blue,213893.0,4.0,5743.0
Nissan,Blue,231057.0,4.0,5925.0
Toyota,White,100938.0,4.0,25196.0
Toyota,Blue,243969.0,,16138.0
Nissan,White,107096.0,3.0,6075.0
